ietf_node,tapi_node,similarity
/networks/network/node/te/information-source-entry/connectivity-matrices/label-restrictions/label-restriction/label-start/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/connectivity-matrix/path-properties/path-route-objects/path-route-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/te/templates/link-template/te-link-attributes/label-restrictions/label-restriction/label-end/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/te/templates/link-template/te-link-attributes/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/information-source-entry/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/label-restrictions/label-restriction/label-end/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/underlay/backup-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/te/templates/link-template/te-link-attributes/label-restrictions/label-restriction/label-start/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/label-restrictions/label-restriction/label-start/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/te/templates/link-template/te-link-attributes/underlay/primary-path/path-element/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/label-restrictions/label-restriction/label-end/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/label-restrictions/label-restriction/label-start/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/node/te/te-node-attributes/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object/type/label-hop/te-label/direction,/context/notification-context/event-notification/connection-end-point/direction,0.5135240422776821
/networks/network/link/te/information-source-entry/link-protection-type,/context/notification-context/event-notification/topology/link/resilience-type/protection-type,0.5047482289970743
/networks/te/templates/link-template/te-link-attributes/link-protection-type,/context/notification-context/event-notification/topology/link/resilience-type/protection-type,0.5047482289970743
/networks/network/link/te/te-link-attributes/link-protection-type,/context/notification-context/event-notification/topology/link/resilience-type/protection-type,0.5047482289970743
/networks/network/node/te/te-node-attributes/otn-node,/context/notification-context/notif-subscription/notification/changed-attributes/new-value,0.4738467081985432
/networks/network/node/te/tunnel-termination-point/protection-type,/context/notification-context/event-notification/topology/link/resilience-type/protection-type,0.47339618335416006
/networks/network/node/te/te-node-attributes/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/local-link-connectivity/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/te-node-attributes/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/information-source-entry/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/information-source-entry/connectivity-matrices/connectivity-matrix/optimizations/algorithm/optimization-metric/explicit-route-exclude-objects/route-object-exclude-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/exclude-path,0.46922496233408584
/networks/network/node/te/information-source-entry/name,/context/notification-context/event-notification/node/node-rule-group,0.452427439139784
/networks/network/node/te/te-node-attributes/name,/context/notification-context/event-notification/node/node-rule-group,0.452427439139784
/networks/te/templates/node-template/te-node-attributes/name,/context/notification-context/event-notification/node/node-rule-group,0.452427439139784
/networks/network/node/te/information-source-entry/connectivity-matrices/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/include-link,0.4380602359837342
/networks/network/node/te/tunnel-termination-point/local-link-connectivities/optimizations/algorithm/optimization-metric/explicit-route-include-objects/route-object-include-object,/context/notification-context/event-notification/path-computation-service/topology-constraint/include-link,0.4380602359837342
